datetime_utc,timestamp,coin,value
2025-09-30 20:30:10+00:00,1759264210,CLASICA,1.049619
2025-09-30 21:00:11+00:00,1759266011,CLASICA,1.050420
2025-09-30 21:30:09+00:00,1759267809,CLASICA,1.050420
2025-09-30 22:00:10+00:00,1759269610,CLASICA,1.055337
2025-09-30 22:30:09+00:00,1759271409,CLASICA,1.055337
2025-09-30 23:00:10+00:00,1759273210,CLASICA,1.076289
2025-09-30 23:30:10+00:00,1759275010,CLASICA,1.076289
2025-10-01 00:00:10+00:00,1759276810,CLASICA,1.073677
2025-10-01 00:30:10+00:00,1759278610,CLASICA,1.073677
2025-10-01 01:00:10+00:00,1759280410,CLASICA,1.073677
2025-10-01 01:30:09+00:00,1759282209,CLASICA,1.073677
2025-10-01 02:00:10+00:00,1759284010,CLASICA,1.074344
2025-10-01 02:30:10+00:00,1759285810,CLASICA,1.074344
2025-10-01 03:00:10+00:00,1759287610,CLASICA,1.074344
2025-10-01 03:30:10+00:00,1759289410,CLASICA,1.074344
2025-10-01 04:00:10+00:00,1759291210,CLASICA,1.074344
2025-10-01 05:00:11+00:00,1759294811,CLASICA,1.073171
2025-10-01 05:30:11+00:00,1759296611,CLASICA,1.073171
2025-10-01 06:00:14+00:00,1759298414,CLASICA,1.073171
2025-10-01 06:30:10+00:00,1759300210,CLASICA,1.073171
2025-10-01 07:00:11+00:00,1759302011,CLASICA,1.073171
2025-10-01 07:30:53+00:00,1759303853,CLASICA,1.073171
2025-10-01 08:00:59+00:00,1759305659,CLASICA,1.073171
2025-10-01 08:30:59+00:00,1759307459,CLASICA,1.073171
2025-10-01 09:01:14+00:00,1759309274,CLASICA,1.073171
2025-10-01 09:30:58+00:00,1759311058,CLASICA,1.077132
2025-10-01 10:01:00+00:00,1759312860,CLASICA,1.081102
2025-10-01 10:30:09+00:00,1759314609,CLASICA,1.085094
2025-10-01 11:00:11+00:00,1759316411,CLASICA,1.087887
2025-10-01 11:30:09+00:00,1759318209,CLASICA,1.088220
2025-10-01 12:00:11+00:00,1759320011,CLASICA,1.093793
2025-10-01 12:30:20+00:00,1759321820,CLASICA,1.095393
2025-10-01 13:00:10+00:00,1759323610,CLASICA,1.087809
2025-10-01 13:30:09+00:00,1759325409,CLASICA,1.087809
2025-10-01 14:00:09+00:00,1759327209,CLASICA,1.081551
2025-10-01 14:30:09+00:00,1759329009,CLASICA,1.087198
2025-10-01 15:00:11+00:00,1759330811,CLASICA,1.094074
2025-10-01 15:30:09+00:00,1759332609,CLASICA,1.093921
2025-10-01 16:00:10+00:00,1759334410,CLASICA,1.079073
2025-10-01 16:30:10+00:00,1759336210,CLASICA,1.079073
2025-10-01 17:00:10+00:00,1759338010,CLASICA,1.076643
2025-10-01 17:30:09+00:00,1759339809,CLASICA,1.073405
2025-10-01 18:00:10+00:00,1759341610,CLASICA,1.077979
2025-10-01 18:30:09+00:00,1759343409,CLASICA,1.056977
2025-10-01 19:00:13+00:00,1759345213,CLASICA,1.056146
2025-10-01 19:30:09+00:00,1759347009,CLASICA,1.056206
2025-10-01 20:00:11+00:00,1759348811,CLASICA,1.052570
2025-10-01 20:30:10+00:00,1759350610,CLASICA,1.052570
2025-10-01 21:00:10+00:00,1759352410,CLASICA,1.052832
2025-10-01 21:30:09+00:00,1759354209,CLASICA,1.052277
2025-10-01 22:00:11+00:00,1759356011,CLASICA,1.054853
2025-10-01 22:30:12+00:00,1759357812,CLASICA,1.054705
2025-10-01 23:00:08+00:00,1759359608,CLASICA,1.054705
2025-10-01 23:30:08+00:00,1759361408,CLASICA,1.054705
2025-10-02 00:00:09+00:00,1759363209,CLASICA,1.053767
2025-10-02 00:30:08+00:00,1759365008,CLASICA,1.054924
2025-10-02 01:00:09+00:00,1759366809,CLASICA,1.054038
2025-10-02 01:30:08+00:00,1759368608,CLASICA,1.054038
2025-10-02 02:00:09+00:00,1759370409,CLASICA,1.054038
2025-10-02 02:30:10+00:00,1759372210,CLASICA,1.054038
2025-10-02 03:00:10+00:00,1759374010,CLASICA,1.054373
2025-10-02 03:30:08+00:00,1759375808,CLASICA,1.054373
2025-10-02 04:00:09+00:00,1759377609,CLASICA,1.054493
2025-10-02 04:30:08+00:00,1759379408,CLASICA,1.054493
2025-10-02 05:00:09+00:00,1759381209,CLASICA,1.054118
2025-10-02 05:30:08+00:00,1759383008,CLASICA,1.054118
2025-10-02 06:00:09+00:00,1759384809,CLASICA,1.054118
2025-10-02 06:30:09+00:00,1759386609,CLASICA,1.054118
2025-10-02 07:00:09+00:00,1759388409,CLASICA,1.054118
2025-10-02 07:30:09+00:00,1759390209,CLASICA,1.054118
2025-10-02 08:00:10+00:00,1759392010,CLASICA,1.054118
2025-10-02 08:30:09+00:00,1759393809,CLASICA,1.054118
2025-10-02 09:00:10+00:00,1759395610,CLASICA,1.053971
2025-10-02 09:30:08+00:00,1759397408,CLASICA,1.054685
2025-10-02 10:00:09+00:00,1759399209,CLASICA,1.054987
2025-10-02 10:30:09+00:00,1759401009,CLASICA,1.055182
2025-10-02 11:00:10+00:00,1759402810,CLASICA,1.055182
2025-10-02 11:30:08+00:00,1759404608,CLASICA,1.056278
2025-10-02 12:00:10+00:00,1759406410,CLASICA,1.057895
2025-10-02 12:30:08+00:00,1759408208,CLASICA,1.057895
2025-10-02 13:00:09+00:00,1759410009,CLASICA,1.056718
2025-10-02 13:30:09+00:00,1759411809,CLASICA,1.052622
2025-10-02 14:00:10+00:00,1759413610,CLASICA,1.053139
2025-10-02 14:30:09+00:00,1759415409,CLASICA,1.054215
2025-10-02 15:00:10+00:00,1759417210,CLASICA,1.051394
2025-10-02 15:30:09+00:00,1759419009,CLASICA,1.054584
2025-10-02 16:00:16+00:00,1759420816,CLASICA,1.054423
2025-10-02 16:30:09+00:00,1759422609,CLASICA,1.054423
2025-10-02 17:00:09+00:00,1759424409,CLASICA,1.054423
2025-10-02 17:30:09+00:00,1759426209,CLASICA,1.049781
2025-10-02 18:00:11+00:00,1759428011,CLASICA,1.049831
2025-10-02 18:30:09+00:00,1759429809,CLASICA,1.049831
2025-10-02 19:00:10+00:00,1759431610,CLASICA,1.049031
2025-10-02 19:30:09+00:00,1759433409,CLASICA,1.049845
